adjudication_id,run_id,item_id
80689f50678f2a3c,llama_3_3_70b__H07__social__on__s0,H07
1a8138bdf9a36f96,llama_3_3_70b__H17__social__on__s1,H17
3aa78bf8e2cccdbc,llama_3_3_70b__H12__social__off__s1,H12
f44a7671b25dd364,llama_3_3_70b__H12__social__on__s1,H12
0064f2219c43cc5c,llama_3_3_70b__H08__neutral__off__s0,H08
fc4082b484b8ceb6,llama_3_3_70b__H04__neutral__on__s0,H04
94f182f70583116b,llama_3_3_70b__H11__social__on__s1,H11
b6146ccb00a30771,llama_3_3_70b__H17__social__on__s0,H17
b13844f4f6809166,llama_3_3_70b__H18__social__on__s1,H18
d6d31b5b0549526b,llama_3_3_70b__H07__social__on__s1,H07
88e38deb14027a49,llama_3_3_70b__H04__neutral__off__s0,H04
6fa25de1dd510263,llama_3_3_70b__H09__social__off__s0,H09
bd23a7a42c06854d,llama_3_3_70b__H04__social__on__s0,H04
b8b30b955915f009,llama_3_3_70b__H11__social__off__s1,H11
b3fb362fc8b20938,llama_3_3_70b__H03__social__on__s0,H03
8def2d4676eb06f3,llama_3_3_70b__H05__social__on__s1,H05
e620b2fc79d55798,llama_3_3_70b__H04__social__off__s1,H04
544c7917ade642d7,llama_3_3_70b__H18__social__on__s0,H18
cd518adbd58ae7cb,llama_3_3_70b__H08__neutral__on__s1,H08
7b20d98f6779def8,llama_3_3_70b__H11__social__off__s0,H11
51f21a6f7476bbfd,llama_3_3_70b__H03__social__on__s1,H03
7cb698ba2a7fe426,llama_3_3_70b__H05__social__on__s0,H05
c8e953ae6f1dcd4c,llama_3_3_70b__H11__social__on__s0,H11
b0733d99c36ed85b,llama_3_3_70b__H12__social__off__s0,H12
ce85c10eb8bca0d8,llama_3_3_70b__H04__neutral__off__s1,H04
36ad7a60c70f50cf,llama_3_3_70b__H04__social__on__s1,H04
f5db19f0f44f83e8,llama_3_3_70b__H19__neutral__on__s0,H19
8786d4bfb7e01e3d,llama_3_3_70b__H04__neutral__on__s1,H04
c25929a2b6a20832,llama_3_3_70b__H04__social__off__s0,H04
c6d7c45c7e84669d,llama_3_3_70b__H19__neutral__on__s1,H19
